id,success
504,no
1055,no
1056,no
1059,yes
1061,yes
1728,no
2513,no
3602,no
3616,no
5646,no
5755,no
6144,no
6151,no
7662,no
7809,no
7818,no
7832,yes
7836,no
7849,no
7862,no
10118,no
10269,yes
10413,no
10419,no
10430,no
10556,no
10650,no
11597,yes
11600,no
11613,no
11753,no
11823,yes
11915,no
12241,no
13161,no
15529,no
15535,no
15541,no
16357,no
16796,no
17015,no
17029,no
17030,no
17503,no
17927,no
17931,no
17939,no
18503,no
18511,no
18526,no
18966,no
19311,yes
22178,no
22469,no
23893,no
24215,no
25274,no
25275,no
25287,no
25297,yes
25312,no
25327,no
25330,no
26071,no
26079,no
26083,no
26115,no
26136,no
26141,no
26145,no
26168,no
26669,no
26686,no
26722,no
26723,no
26726,no
26748,no
28037,yes
28495,no
28524,no
28595,no
29622,no
30444,no
30710,no
33860,no
34209,no
34440,no
36165,no
36432,no
36660,no
36882,no
36921,no
36923,no
37709,no
38992,no
39562,no
39639,no
39720,no
41089,no
43560,no
