id,success
1728,no
1821,no
1823,no
2513,no
5646,no
5885,no
6097,yes
6102,no
7535,no
7548,no
7570,no
7662,yes
7809,no
7811,no
7814,no
7818,no
7821,no
7832,no
7836,no
7839,no
7849,no
7854,no
7862,no
10236,yes
10254,yes
10256,yes
10268,yes
10269,no
10556,no
11904,no
11915,no
13150,no
13151,no
13152,no
13160,no
13161,no
13169,no
13170,no
13172,no
15529,no
15530,no
15531,no
15535,no
15537,no
15541,no
15549,no
15591,no
15674,yes
15684,yes
15707,no
15708,no
15709,no
15714,no
15721,no
15730,no
16357,no
16780,no
16814,no
17765,no
18226,no
18229,no
18498,yes
18503,no
21932,no
21983,no
22178,no
24119,no
24134,no
24215,no
25043,no
25271,no
25274,no
25275,no
25283,no
25291,no
25300,no
25301,no
25339,no
26117,no
26136,no
26161,no
26714,no
26725,no
28027,no
28037,yes
28041,no
28495,no
28530,no
28535,no
28595,no
28601,yes
28603,no
34593,no
36882,no
36920,no
39720,no
42857,no
43852,no
43859,no
43876,no
